id,type
159466978,way
6641648,relation
322815282,way
23515149,way
3182579,relation
90429204,way
322793339,way
412354411,node
2119134219,node
225578485,way
4458112,relation
414965002,node
1042056410,node
413460779,node
82162575,way
37376190,way
217455233,way
26749066,way
250243341,node
122278768,way
254318590,node
58778254,way
188949092,way
13875118,way
294032205,way
1019343,relation
22875465,way
22883270,way
97814306,way
121158889,way
185882029,way
196861878,way
416574147,node
1042092970,node
41378380,way
174037464,way
23718192,way
35263109,way
368395891,node
141207228,way
158042008,way
198597589,way
274648000,way
131190417,way
206914990,way
311520978,way
277018733,node
321769511,way
