id,type
3987743,relation
4039486,relation
2606941,relation
1205151,relation
1205149,relation
1374224,relation
555716,relation
2791372,relation
2631184,relation
1834172,relation
4039900,relation
1159098,relation
1206310,relation
3367363,relation
2195612,relation
1754729,relation
5872303,relation
4618842,relation
2709093,relation
1308279,relation
3000330,relation
2194833,relation
2791738,relation
188230,relation
1969016,relation
2617981,relation
1082659,relation
36970,relation
1239458,relation
3120035,relation
1110965,relation
108807,relation
5869931,relation
1269323,relation
2795794,relation
3119933,relation
1206317,relation
404236,relation
404644,relation
1414848,relation
112560,relation
