type,id,name
way,56384794,Van Cortlandt
way,35024697,Freshkills Park
way,282605883,Alley Pond Park
way,427818536,Central Park
way,331933014,Bronx Park
relation,5654414,Pelham Bay Park
way,91278574,Greenbelt Park
way,35024697,Freshkills Park
relation,4480053,Marine Park
way,260829251,Parco delle Basiliche
way,290695600,Giardino della Guastalla
way,5110320,Giardini Pubblici Indro Montanelli
way,115896315,Parco Sempione
way,35710614,Parc del Guinardó
way,24220712,Parc de Diagonal-Mar
node,2712961128,Park Güell
way,23431083,Plaça de Gaudí
way,35710383,Parc de les Aigües
way,76172498,Parc del Mirador del Poble-sec
way,36305535,Parc de Joan Miró
relation,2065063,Parc de Collserola
way,384757675,Parc del Centre del Poblenou
way,425373672,Parc del Clot
