type,id,name
way,100596043,Sheikh Zayed Mosque
way,30394921,Emirates Palace
way,227206840,Yas Waterworld
node,4332654501,Qasr al-Hosn
node,2102760463,Emirates National Auto Museum
way,185409279,South Australian Museum
way,4681536,Adelaide Oval
node,1960121476,Migration Museum
way,50550960,Adelaide Zoo
way,81798898,Botanic Park
node,849500958,Carrick Hill
way,14306406,Adelaide Botanic Garden
relation,6577680,Van Gogh Museum
way,44508814,Van Gogh Museum
way,29989787,Rijksmuseum
node,291660674,Rijksmuseum
way,94756489,Dam Square
relation,5456455,Dam Square
node,2817515795,Heineken Experience
way,26658363,Begijnhof
relation,3604837,The National Maritime Museum
way,363095473,Museum of Anatolian Civilizations
way,72079962,Atakule
way,10711293,Gençlik Parkı
way,70284588,Acropolis Museum
way,10973689,Parthenon
node,952120095,Plaka
relation,2828,National Archaeological Museum
way,23182661,Syntagma Square
way,63765671,Temple of Olympian Zeus
node,2096080283,Monastiraki
relation,3000500,Panathenaic Stadium
way,270358205,World of Coca-Cola
way,28912094,Centennial Olympic Park
node,3424138129,Centennial Olympic Park
way,41439893,CNN Center
way,28961738,High Museum of Art
way,208355446,Fox Theatre
way,173532785,Martin Luther King Jr. National Historic Site
way,470898408,Martin Luther King Jr. National Historic Site
node,2661489008,College Football Hall of Fame
way,260629516,College Football Hall of Fame
node,3490831015,National Center for Civil and Human Rights
way,317976752,National Center for Civil and Human Rights
way,27442711,Barton Springs Pool
way,27397820,Bullock Texas State History Museum
node,356700647,Mount Bonnell
way,313444169,Zilker Botanical Garden
node,345558969,Lake Austin
node,356749100,Lake Austin
node,2033888905,Baghdad Zoo
way,4073844,Tahrir Square in Baghdad
way,191813517,Fort Fincastle
way,302015352,Fort Charlotte
node,4360690096,National Art Gallery of The Bahamas
node,1313490625,Castaway Cay
node,821908154,Dean's Blue Hole
way,371290296,Government House
way,191808714,Fort Montagu
relation,1116862,Fort McHenry
way,138488338,American Visionary Art Museum
node,4590173181,Walters Art Museum
way,463790159,Walters Art Museum
way,337697136,Port Discovery
relation,2610758,Baltimore Museum of Art
way,138495209,Baltimore Museum of Industry
node,1080111741,Geppi's Entertainment Museum
node,2473631629,ISKCON Temple Bangalore
way,29459362,ISKCON Temple Bangalore
way,285254382,ISKCON Temple Bangalore
relation,5284317,Vidhana Soudha
way,52032475,Visvesvaraya Industrial and Technological Museum
way,306788563,Nandi Temple
node,677286789,Gavi Gangadhareshwara Temple
way,46673786,St. Mary's Basilica
way,400483216,St. Mary's Basilica
way,359086841,Sagrada Família
node,3397396652,Sagrada Família
node,4735200560,Sagrada Família
node,4553142274,Sagrada Família
node,2712961128,Park Güell
way,124190212,Casa Milà
way,249401770,Casa Batlló
way,283764560,Montjuïc
way,34607291,Camp Nou
way,289329578,Camp Nou
relation,6288735,La Boqueria
way,126334602,La Boqueria
node,4200285494,La Boqueria
node,4172419290,La Boqueria
way,16628908,Passeig de Gràcia
way,43995751,Museu Nacional d'Art de Catalunya
relation,318110,Great Wall of China
relation,941596,Tiananmen Square
way,24824550,Temple of Heaven
way,29228773,Summer Palace
way,24825312,Yonghe Temple
way,127590730,Badaling
relation,4853823,Beihai Park
node,273374649,Ming tombs
node,339084979,Wangfujing
node,1302986802,Wangfujing
way,206004656,Brandenburg Gate
node,3786417057,Brandenburg Gate
way,330840129,Museum Island
way,460812477,Berlin Wall
way,313659704,Pergamon Museum
node,417346627,Checkpoint Charlie
way,172234733,Memorial to the Murdered Jews of Europe
way,460812477,East Side Gallery
way,460812530,East Side Gallery
way,147855069,Spree
way,24368681,Topography of Terror
relation,131761,Alexanderplatz
way,39374439,Zytglogge
way,116254459,Tierpark Dählhölzli
way,115207034,Tierpark Dählhölzli
way,313876044,Bärengraben
way,38351846,Nydeggkirche
way,251236204,Käfigturm
relation,2989491,Kindlifresserbrunnen
way,29551702,Faneuil Hall
way,29660091,New England Aquarium
way,23787732,Boston Common
way,8096030,Fenway Park
relation,63938,Museum of Fine Arts
node,368984462,Boston Harbor
node,369033073,Boston Harbor
way,25589604,Museum of Science
way,29819001,Museum of Science
node,367781417,Boston Museum
node,367781336,Boston Museum
way,29627269,Boston Museum
way,240376785,Paul Revere House
node,367781323,Paul Revere House
way,50127172,Story Bridge
relation,532905,South Bank Parklands
node,2512789117,Wheel of Brisbane
way,145079447,Queensland Art Gallery
node,2512519061,Museum of Brisbane
way,23633911,Teatro Colón
way,114037319,Teatro Colón
node,1236696803,Teatro Colón
node,1550941125,Teatro Colón
way,17492291,Plaza de Mayo
way,334062440,Plaza de Mayo
way,23621021,MALBA
relation,2337969,Casa Rosada
way,36883158,Parque Tres de Febrero
way,54041468,Museo Nacional de Bellas Artes
relation,3489873,Obelisco de Buenos Aires
node,3950191364,Belgrano
way,175564476,Belgrano
way,4781015,Belgrano
way,5090724,Australian War Memorial
relation,3400115,Lake Burley Griffin
way,27630963,Questacon
way,208351859,National Gallery of Australia
relation,5613553,National Museum of Australia
way,30704870,National Portrait Gallery
node,167206093,Mount Ainslie
relation,1198,Old Parliament House
way,174231925,Discovery Place
node,1443710716,NASCAR Hall of Fame
node,367912234,Mint Museum
way,131139755,Mint Museum
way,303566121,Carolinas Aviation Museum
way,131139728,Bechtler Museum of Modern Art
way,23888253,Millennium Park
node,2250382928,Millennium Park
way,24825568,Shedd Aquarium
relation,1870546,Art Institute of Chicago
way,58528804,Willis Tower
node,2311635030,Willis Tower
node,153654226,Magnificent Mile
relation,5328430,Lincoln Park Zoo
way,24826230,Museum of Science and Industry
way,24825591,Adler Planetarium
way,30173179,Franklin Park Conservatory
node,1728595299,German Village
way,30172881,Ohio Statehouse
way,293476179,Columbus Museum of Art
node,3071943557,Wexner Center for the Arts
node,368153424,Ohio Theatre
way,30302922,Ohio Village
node,25074274,The Little Mermaid
relation,6476337,Nyhavn
node,723140554,National Museum of Denmark
relation,1989714,National Museum of Denmark
way,25524592,Rosenborg Castle
way,45902030,Rundetaarn
way,378106484,Amalienborg
way,25992657,Christiansborg Palace
relation,1322262,Ny Carlsberg Glyptotek
node,1489671999,Strøget
way,238241022,White House
way,66418809,United States Capitol
way,41965223,National Mall
way,398769543,Lincoln Memorial
node,2276095682,Lincoln Memorial
way,66418787,National Museum of Natural History
way,66418797,National Air and Space Museum
relation,3374540,Washington Monument
way,40941195,National Zoological Park
node,367144590,International Spy Museum
way,35205743,Denver Art Museum
way,296804941,Downtown Aquarium
way,34008043,Colorado State Capitol
way,157656310,Denver Zoo
node,965153814,Denver Zoo
relation,4213870,Colorado Convention Center
way,223802670,Denver Botanic Gardens
node,1928670727,Denver Botanic Gardens
node,2836996528,Wings Over the Rockies Air and Space Museum
node,353915958,Belle Isle Park
way,68957303,Charles H. Wright Museum of African American History
way,68962399,Detroit Historical Museum
way,107606561,Renaissance Center
way,110555613,Ford Field
node,1234943126,Greektown Casino Hotel
way,68992675,Michigan Science Center
way,12700546,Burj Al Arab
way,47515677,The Dubai Mall
way,175115425,Mall of the Emirates
node,4314939993,Mall of the Emirates
way,202638354,Madinat Jumeirah
node,1155135639,Madinat Jumeirah
node,4416344376,Madinat Jumeirah
way,455295407,Madinat Jumeirah
node,3722114050,Madinat Jumeirah
node,3717446089,Dubai Museum
way,41662413,Kilmainham Gaol
way,231082847,National Museum of Ireland
way,48806099,National Museum of Ireland
node,140706284,National Museum of Ireland
way,231082845,National Museum of Ireland
relation,5982000,National Museum of Ireland
way,43981182,St Patrick's Cathedral
way,74600934,Chester Beatty Library
way,76592311,Temple Bar
node,2986012929,Temple Bar
way,27291101,Christ Church Cathedral
way,13993652,St Stephen's Green
way,231082845,National Museum of Ireland – Archaeology
relation,3235289,Croke Park
node,31209291,Arthur's Seat
way,99889822,HMY Britannia
way,5209575,Royal Botanic Garden Edinburgh
node,2113071246,Mary King's Close
node,268408103,Camera Obscura
way,22938944,Scottish National Gallery
way,22938984,Scottish National Gallery
way,73090302,Scottish National Gallery
way,42407060,St Giles' Cathedral
node,2914760336,Scotch Whisky Experience
way,92017727,Wyler Aerial Tramway
way,92017729,Wyler Aerial Tramway
way,262818915,El Paso Museum of Art
way,86811631,National Border Patrol Museum
way,249041571,Chamizal National Memorial
relation,3549806,El Paso Zoo
node,356852189,Ysleta Mission
node,368162729,Plaza Theatre
node,2244694385,Reformation Wall
way,8161109,Place du Bourg-de-Four
way,26176780,Palace of Nations
way,14364104,Musée Ariana
node,151192185,Musée d'Art et d'Histoire
way,15256715,Musée Rath
way,260057822,Malecón
way,288523229,Malecón
