restaurant,restaurant_name,restaurant_country,restaurant_location
http://www.wikidata.org/entity/Q5169055,Alexandre,Belgium,
http://www.wikidata.org/entity/Q3038887,Aneth,Belgium,
http://www.wikidata.org/entity/Q15872666,Arenberg,Belgium,Point(4.66472 50.8611)
http://www.wikidata.org/entity/Q2799843,Auberge de Herborist,Belgium,
http://www.wikidata.org/entity/Q15872891,Bartholomeus,Belgium,
http://www.wikidata.org/entity/Q2179825,Bij Lam en Yin,Belgium,Point(4.398888888 51.219444444)
http://www.wikidata.org/entity/Q2663524,Bon-bon,Belgium,Point(4.446347222 50.82285)
http://www.wikidata.org/entity/Q4978902,Bruneau Restaurant,Belgium,Point(4.322728 50.867583)
http://www.wikidata.org/entity/Q15873797,Centpourcent,Belgium,
http://www.wikidata.org/entity/Q2083262,Château du Mylord,Belgium,Point(3.673597222 50.729697222)
http://www.wikidata.org/entity/Q2560211,Comme chez Soi,Belgium,Point(4.3459 50.8423)
http://www.wikidata.org/entity/Q15874129,"Cuines,33",Belgium,
http://www.wikidata.org/entity/Q2309547,Danny Horseele,Belgium,
http://www.wikidata.org/entity/Q2624942,De Jonkman,Belgium,
http://www.wikidata.org/entity/Q2176399,De Karmeliet,Belgium,Point(3.232984 51.209682)
http://www.wikidata.org/entity/Q15874299,De Kristalijn,Belgium,
http://www.wikidata.org/entity/Q2597420,Den Gouden Harynck,Belgium,
http://www.wikidata.org/entity/Q2337930,Dôme,Belgium,Point(4.426622222 51.206180555)
http://www.wikidata.org/entity/Q2350223,Hertog Jan,Belgium,Point(3.19071667 51.18604167)
http://www.wikidata.org/entity/Q2629148,Hof van Cleve,Belgium,Point(3.50972 50.90361)
http://www.wikidata.org/entity/Q15876457,Horseele,Belgium,
http://www.wikidata.org/entity/Q14851442,Hostellerie Bretonne,Belgium,
http://www.wikidata.org/entity/Q14942081,L'Air du Temps,Belgium,
http://www.wikidata.org/entity/Q2272894,La Durée,Belgium,
http://www.wikidata.org/entity/Q2679455,La Paix,Belgium,Point(4.328288888 50.843741666)
http://www.wikidata.org/entity/Q15877645,La Pérouse,Belgium,
http://www.wikidata.org/entity/Q2581585,Le Chalet de la Forêt,Belgium,Point(4.386536111 50.784677777)
http://www.wikidata.org/entity/Q2355180,Nuance,Belgium,Point(4.505744444 51.095791666)
http://www.wikidata.org/entity/Q27902473,Q27902473,Belgium,
http://www.wikidata.org/entity/Q1820248,Sea Grill,Belgium,
http://www.wikidata.org/entity/Q18088493,Shamrock,Belgium,
http://www.wikidata.org/entity/Q4540589,t Fornuis,Belgium,Point(4.399332 51.219052)
http://www.wikidata.org/entity/Q13427509,t Laurierblad,Belgium,Point(4.003672 51.024462)
http://www.wikidata.org/entity/Q2448524,t Overhamme,Belgium,
http://www.wikidata.org/entity/Q2192183,t Zilte,Belgium,Point(4.40463 51.229)
http://www.wikidata.org/entity/Q2363305,Table d'Amis,Belgium,
http://www.wikidata.org/entity/Q22980627,The Jane,Belgium,Point(4.423444 51.202444)
http://www.wikidata.org/entity/Q2661716,Va Doux Vent,Belgium,Point(4.342483333 50.812333333)
http://www.wikidata.org/entity/Q20747687,Villa Lorraine,Belgium,Point(4.378527777 50.799861111)
http://www.wikidata.org/entity/Q15883643,WY,Belgium,
http://www.wikidata.org/entity/Q22998656,Clou,Denmark,Point(12.58536111 55.68351944)
http://www.wikidata.org/entity/Q23010109,Gastromé,Denmark,
http://www.wikidata.org/entity/Q15573853,Geranium,Denmark,
http://www.wikidata.org/entity/Q22980120,Kadeau Bornholm,Denmark,Point(14.96906111 55.00456389)
http://www.wikidata.org/entity/Q23010103,Kadeau København,Denmark,Point(12.58891944 55.67229722)
http://www.wikidata.org/entity/Q22983542,Kiin Kiin,Denmark,Point(12.55719444 55.69180278)
http://www.wikidata.org/entity/Q15043405,Kokkeriet,Denmark,
http://www.wikidata.org/entity/Q6429123,Kong Hans Kælder,Denmark,Point(12.5841 55.6788)
http://www.wikidata.org/entity/Q23010101,Marchal,Denmark,Point(12.58481111 55.68038611)
http://www.wikidata.org/entity/Q23766764,MR,Denmark,Point(12.57393611 55.68215556)
http://www.wikidata.org/entity/Q48592,Noma,Denmark,Point(12.59625 55.677919)
http://www.wikidata.org/entity/Q23899289,Pierre André,Denmark,Point(12.58183333 55.68175556)
http://www.wikidata.org/entity/Q23017664,Q23017664,Denmark,Point(12.57513333 55.67629722)
http://www.wikidata.org/entity/Q23929267,Q23929267,Denmark,Point(12.58735833 55.67868889)
http://www.wikidata.org/entity/Q23931088,Q23931088,Denmark,Point(12.583525 55.68130833)
http://www.wikidata.org/entity/Q28821801,Q28821801,Denmark,
http://www.wikidata.org/entity/Q23831010,Restaurant Godt,Denmark,Point(12.58261389 55.68224722)
http://www.wikidata.org/entity/Q23908783,Restaurant Rebel,Denmark,Point(12.5871 55.68342222)
http://www.wikidata.org/entity/Q23013754,Studio,Denmark,Point(12.59216111 55.67800278)
http://www.wikidata.org/entity/Q22988335,Substans,Denmark,Point(10.20338611 56.153925)
http://www.wikidata.org/entity/Q23011704,The Paul,Denmark,Point(12.56822222 55.67394167)
http://www.wikidata.org/entity/Q2963166,Chez Dominique,Finland,Point(24.94611111 60.16583333)
http://www.wikidata.org/entity/Q82844,Olo,Finland,Point(24.9549 60.1681)
http://www.wikidata.org/entity/Q14589583,Akrame,France,
http://www.wikidata.org/entity/Q4818940,Au Crocodile,France,Point(7.74748 48.5837)
http://www.wikidata.org/entity/Q2971194,Chevre d'or,France,Point(7.362 43.727)
http://www.wikidata.org/entity/Q2971194,Chevre d'or,France,Point(7.36195 43.7274)
http://www.wikidata.org/entity/Q18818805,Jean-François Piège,France,
http://www.wikidata.org/entity/Q6455533,L'Ambroisie,France,Point(2.3643 48.8554)
http://www.wikidata.org/entity/Q6455598,L'Arpège,France,Point(2.317 48.8557)
http://www.wikidata.org/entity/Q6455614,L'Astrance,France,Point(2.2876 48.8584)
http://www.wikidata.org/entity/Q1880610,L'Auberge du Pont de Collonges,France,Point(4.84745278 45.8157056)
http://www.wikidata.org/entity/Q3208058,La Côte d'Or,France,Point(4.23222222 47.27972222)
http://www.wikidata.org/entity/Q6462485,La Ferme de Mon Père,France,Point(6.62648611 45.8613694)
http://www.wikidata.org/entity/Q6466276,La mère Bourgeois,France,
http://www.wikidata.org/entity/Q6466277,La mère Brazier,France,Point(4.8372 45.7714)
http://www.wikidata.org/entity/Q2905872,La Pyramide,France,Point(4.86700556 45.5165417)
http://www.wikidata.org/entity/Q6488471,Lapérouse,France,Point(2.34159 48.8551)
http://www.wikidata.org/entity/Q3220970,Le Chabichou,France,Point(6.63 45.41611111)
http://www.wikidata.org/entity/Q6506699,Le Chateaubriand,France,Point(2.3713 48.8693)
http://www.wikidata.org/entity/Q14955143,Le Cinq,France,
http://www.wikidata.org/entity/Q1025695,Le Dôme Café,France,Point(2.3291 48.8419)
http://www.wikidata.org/entity/Q2896854,Le Grand Véfour,France,Point(2.3379 48.8661)
http://www.wikidata.org/entity/Q3427911,Ledoyen,France,Point(2.31641667 48.86608333)
http://www.wikidata.org/entity/Q2895806,Les Ambassadeurs,France,Point(2.32155 48.86732)
http://www.wikidata.org/entity/Q6737046,Maison Pic,France,Point(4.88555556 44.9175)
http://www.wikidata.org/entity/Q6872943,Mirazur,France,
http://www.wikidata.org/entity/Q3224809,Moulin de Mougins,France,Point(7.00138889 43.59611111)
http://www.wikidata.org/entity/Q3445992,Royal Monceau,France,Point(2.300354 48.875696)
http://www.wikidata.org/entity/Q2896230,Taillevent,France,Point(2.30246 48.8741)
http://www.wikidata.org/entity/Q1338260,Tour d'Argent,France,Point(2.354888888 48.849883333)
http://www.wikidata.org/entity/Q876820,Tantris,Germany,Point(11.5883 48.1698)
